7.34,8.60
1.08,2.27
2.92,2.23
7.18,7.67
6.04,9.75
9.00,5.15
4.42,1.78
4.33,8.41
0.81,0.21
0.27,0.30
5.52,5.78
6.45,3.02
1.10,2.42
0.17,0.19
1.18,2.52
2.28,1.38
1.81,1.97
2.86,1.87
0.42,0.25
4.75,7.34
5.34,0.48
4.15,6.69
7.16,10.4
3.36,6.59
2.39,6.48
2.34,2.84
1.67,4.87
2.81,5.69
2.13,2.91
1.09,0.43
5.68,6.87
6.41,6.68
6.05,5.92
2.88,3.44
3.83,4.73
4.12,3.70
3.96,4.03
4.00,5.48
3.35,3.93
3.42,2.19
1.16,0.74
5.69,8.31
6.00,9.10
3.19,4.54
2.01,2.19
4.93,9.36
4.02,5.06
5.04,5.46
2.05,1.09
2.14,4.31
4.13,4.21
3.50,3.62
1.46,1.25
2.46,3.24
0.75,2.25
3.01,7.41
3.39,1.80
3.81,2.77
1.26,2.15
5.27,7.60
1.25,0.91
1.97,0.45
5.99,10.2
9.56,3.91
5.08,8.41
5.12,6.39
1.73,1.71
2.45,4.75
4.12,3.83
0.24,0.21
1.82,0.94
2.26,3.40
0.00,0.22
6.34,2.75
1.18,0.31
7.13,3.13
1.06,1.02
0.28,0.35
2.54,3.09
1.39,0.82
1.44,1.82
0.48,0.78
1.13,2.17
0.69,0.93
2.60,3.41
3.36,4.19
3.00,2.54
2.11,2.29
1.30,0.96
2.74,5.91
4.10,4.56
2.34,2.97
3.51,8.17
3.50,7.47
0.22,0.29
2.51,1.98
4.42,2.59
6.21,4.55
4.35,9.25
1.91,4.76
1.92,0.64
6.57,4.10
2.88,8.80
1.08,1.78
0.24,0.11
1.36,2.84
1.32,3.21
0.41,0.57
1.78,0.29
0.20,0.09
3.69,5.01
2.20,1.15
3.53,4.65
2.36,7.13
0.50,1.07
2.24,1.87
1.59,1.90
1.26,1.46
3.25,5.04
2.48,2.95
8.52,6.82
1.73,1.65
10.1,9.94
2.51,2.27
1.33,4.47
0.92,0.97
1.41,2.70
1.67,3.76
2.00,2.34
7.25,2.85
2.19,1.17
0.91,0.99
1.64,1.51
1.53,0.75
0.92,0.59
1.15,2.30
1.74,3.65
0.95,0.53
5.65,7.98
0.21,0.10
0.22,0.12
1.84,3.14
3.44,9.19
6.29,5.07
1.98,2.60
7.15,8.06
0.84,1.36
2.12,2.46
0.29,0.14
1.71,1.88
4.76,6.42
0.75,0.55
1.65,2.70
1.53,2.62
0.98,2.68
7.32,8.23
2.36,1.50
1.92,1.27
0.05,0.07
5.37,9.03
0.61,0.45
0.95,1.07
0.40,0.67
7.09,9.80
3.36,2.32
2.34,4.05
4.09,4.67
1.11,0.61
3.66,2.45
6.80,1.12
1.42,1.11
2.86,2.18
1.28,1.83
1.36,2.96
10.1,14.2
2.85,1.51
3.39,2.60
1.37,2.29
1.16,1.95
1.37,0.64
2.82,4.59
2.32,1.64
2.21,1.76
2.25,2.57
1.15,1.66
3.73,6.64
4.45,2.23
